id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
398,Alfaro Morales,María Isabel,Movimiento Regeneración Nacional,f,24/02/1966,Atención a Grupos Vulnerables,Integrante
398,Alfaro Morales,María Isabel,Movimiento Regeneración Nacional,f,24/02/1966,Deporte,Integrante
60,Tenorio Adame,Paola,Movimiento Regeneración Nacional,f,20/04/1966,Infraestructura,Integrante
60,Tenorio Adame,Paola,Movimiento Regeneración Nacional,f,20/04/1966,Puntos Constitucionales,Integrante
505,Mayer Bretón,Sergio,Movimiento Regeneración Nacional,v,21/05/1966,"Ciencia, Tecnología e Innovación",Integrante
505,Mayer Bretón,Sergio,Movimiento Regeneración Nacional,v,21/05/1966,Derechos de la Niñez y Adolescencia,Integrante
72,Sosa Salinas,José de la Luz,Partido del Trabajo,v,25/05/1966,Pesca,Integrante
72,Sosa Salinas,José de la Luz,Partido del Trabajo,v,25/05/1966,"Régimen, Reglamentos y Prácticas Parlamentarias",Integrante
108,Ortega Nájera,Hilda Patricia,Movimiento Regeneración Nacional,f,10/08/1966,"Desarrollo Metropolitano, Urbano, Ordenamiento Territorial y Movilidad",Integrante
108,Ortega Nájera,Hilda Patricia,Movimiento Regeneración Nacional,f,10/08/1966,Infraestructura,Integrante
42,Terrazas Baca,Patricia,Partido Acción Nacional,f,26/09/1966,"Ciencia, Tecnología e Innovación",Integrante
80,Pérez Rivera,Evaristo Lenin,Sin Grupo Parlamentario,v,28/10/1966,Asuntos Migratorios,Integrante
80,Pérez Rivera,Evaristo Lenin,Sin Grupo Parlamentario,v,28/10/1966,Energía,Integrante
549,Gómez Ventura,Manuel,Movimiento Regeneración Nacional,v,10/11/1966,Hacienda y Crédito Público,Integrante
549,Gómez Ventura,Manuel,Movimiento Regeneración Nacional,v,10/11/1966,Transparencia y Anticorrupción,Integrante
26,Rojas Martínez,Beatriz,Movimiento Regeneración Nacional,f,21/12/1966,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
26,Rojas Martínez,Beatriz,Movimiento Regeneración Nacional,f,21/12/1966,Transparencia y Anticorrupción,Integrante
136,Rodríguez Carrillo,Mario Alberto,Movimiento Ciudadano,v,14/03/1967,"Ciencia, Tecnología e Innovación",Integrante
136,Rodríguez Carrillo,Mario Alberto,Movimiento Ciudadano,v,14/03/1967,Educación,Integrante
352,Farrera Esponda,Juan Enrique,Movimiento Regeneración Nacional,v,21/03/1967,Asuntos Migratorios,Integrante
352,Farrera Esponda,Juan Enrique,Movimiento Regeneración Nacional,v,21/03/1967,Protección Civil y Prevención de Desastres,Integrante
152,Regalado Mardueño,Carmina Yadira,Movimiento Regeneración Nacional,f,06/11/1967,Economía Social y Fomento del Cooperativismo,Integrante
152,Regalado Mardueño,Carmina Yadira,Movimiento Regeneración Nacional,f,06/11/1967,Turismo,Integrante
139,Reyes López,Valentín,Movimiento Regeneración Nacional,v,13/02/1968,Gobernación y Población,Integrante
139,Reyes López,Valentín,Movimiento Regeneración Nacional,v,13/02/1968,Infraestructura,Integrante
328,Contreras Castillo,Armando,Movimiento Regeneración Nacional,v,13/04/1968,Justicia,Integrante
328,Contreras Castillo,Armando,Movimiento Regeneración Nacional,v,13/04/1968,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
328,Contreras Castillo,Armando,Movimiento Regeneración Nacional,v,13/04/1968,Transparencia y Anticorrupción,Integrante
126,Roa Sánchez,Cruz Juvenal,Partido Revolucionario Institucional,v,10/05/1968,Puntos Constitucionales,Integrante
126,Roa Sánchez,Cruz Juvenal,Partido Revolucionario Institucional,v,10/05/1968,Transparencia y Anticorrupción,Integrante
100,Ortega Martínez,María del Pilar,Partido Acción Nacional,f,29/06/1968,"Ciencia, Tecnología e Innovación",Integrante
100,Ortega Martínez,María del Pilar,Partido Acción Nacional,f,29/06/1968,Seguridad Social,Integrante
147,Ramírez Salcido,Juan Francisco,Movimiento Ciudadano,v,25/03/1969,Defensa Nacional,Integrante
147,Ramírez Salcido,Juan Francisco,Movimiento Ciudadano,v,25/03/1969,Vivienda,Integrante
105,Onofre Vázquez,Vicente Alberto,Movimiento Regeneración Nacional,v,06/04/1969,Radio y Televisión,Integrante
82,Pérez Díaz,Víctor Manuel,Partido Acción Nacional,v,01/06/1969,"Desarrollo Metropolitano, Urbano, Ordenamiento Territorial y Movilidad",Integrante
